value_id,case_id,metric,estimate,lower,upper,unit,analysis_output,generated_utc,format_spec,notes
TR01_STATIC_SHARE,TR01,static_green_share_first_direction,0.7516638430002949,,,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1%,
SENS_BE03_01,BE03,energy_reduction_fraction,0.07839250315372139,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,fixed_schedule_hours: 08:00-18:00
SENS_BE03_02,BE03,energy_reduction_fraction,0.2566860465116279,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,fixed_schedule_hours: 07:00-19:00
SENS_BE03_03,BE03,energy_reduction_fraction,0.37717695773961757,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,fixed_schedule_hours: 06:00-20:00
SENS_WK07_04,WK07,static_regret_cost_per_cycle,0.0023275909153930513,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=2;lead=1
SENS_WK07_05,WK07,static_regret_cost_per_cycle,0.0022309728155533943,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=2;lead=5
SENS_WK07_06,WK07,static_regret_cost_per_cycle,0.002104668057085277,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=2;lead=10
SENS_WK07_07,WK07,static_regret_cost_per_cycle,0.002596032878240683,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=5;lead=1
SENS_WK07_08,WK07,static_regret_cost_per_cycle,0.002499414778401026,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=5;lead=5
SENS_WK07_09,WK07,static_regret_cost_per_cycle,0.002373110019932909,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=5;lead=10
SENS_WK07_10,WK07,static_regret_cost_per_cycle,0.003007362059108,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=10;lead=1
SENS_WK07_11,WK07,static_regret_cost_per_cycle,0.002910743959268343,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=10;lead=5
SENS_WK07_12,WK07,static_regret_cost_per_cycle,0.002784439200800226,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=10;lead=10
SENS_WK07_13,WK07,static_regret_cost_per_cycle,0.003007362059108,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=20;lead=1
SENS_WK07_14,WK07,static_regret_cost_per_cycle,0.002910743959268343,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=20;lead=5
SENS_WK07_15,WK07,static_regret_cost_per_cycle,0.002784439200800226,,,normalized cost per cycle,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,failure_cost_ratio_and_lead: cost=20;lead=10
SENS_UI01_16,UI01,procurement_savings_eur_per_mwh,0.035922690206004894,,,EUR per MWh baseline load,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,flexible_load_fraction: 0.005
SENS_UI01_17,UI01,procurement_savings_eur_per_mwh,0.07184538041200994,,,EUR per MWh baseline load,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,flexible_load_fraction: 0.01
SENS_UI01_18,UI01,procurement_savings_eur_per_mwh,0.3592269020600509,,,EUR per MWh baseline load,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,flexible_load_fraction: 0.05
SENS_UI09_19,UI09,normalized_objective_regret_fraction,0.1887721623717185,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,calendar_estimator_and_shortfall_penalty: median;penalty=2
SENS_UI09_20,UI09,normalized_objective_regret_fraction,0.3686977651168869,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,calendar_estimator_and_shortfall_penalty: median;penalty=5
SENS_UI09_21,UI09,normalized_objective_regret_fraction,0.5390800324491152,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,calendar_estimator_and_shortfall_penalty: median;penalty=10
SENS_UI09_22,UI09,normalized_objective_regret_fraction,0.1952978149297183,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,calendar_estimator_and_shortfall_penalty: mean;penalty=2
SENS_UI09_23,UI09,normalized_objective_regret_fraction,0.40533607728783944,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,calendar_estimator_and_shortfall_penalty: mean;penalty=5
SENS_UI09_24,UI09,normalized_objective_regret_fraction,0.5856066282171626,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,calendar_estimator_and_shortfall_penalty: mean;penalty=10
SENS_TR01_25,TR01,responsive_allocation_proxy_reduction_fraction,0.2720424771537744,,,fraction,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,static_green_share: training_estimate
SENS_NC03_26,NC03,repeated_halving_self_similarity_loss,4.930380657631324e-32,,,squared ratio difference,outputs/analysis/model_sensitivity.csv,2026-09-24T10:30:00Z,.6g,aspect_ratio: sqrt(2)
CROSS_PRIMARY_CASES,CROSS,primary_cases,4,,,cases,outputs/analysis/cross_case_falsification.csv,2026-09-24T10:30:00Z,.0f,
CROSS_MATERIAL_ORACLE_CASES,CROSS,material_oracle_mismatch_cases,2,,,cases,outputs/analysis/cross_case_falsification.csv,2026-09-24T10:30:00Z,.0f,
DESIGN_CANDIDATES,DESIGN,candidate_universe_size,122,,,candidates,candidate_registry.csv,2026-09-24T10:30:00Z,.0f,
DESIGN_DOMAINS,DESIGN,candidate_domains,12,,,domains,candidate_registry.csv,2026-09-24T10:30:00Z,.0f,
DESIGN_FROZEN_CASES,DESIGN,frozen_case_count,7,,,cases,frozen_case_set.json,2026-09-24T10:30:00Z,.0f,
DESIGN_VERIFIED_PRIOR_ART,DESIGN,doi_verified_prior_art_count,32,,,references,TFSC_prior_art_matrix.csv,2026-09-24T10:30:00Z,.0f,
THRESHOLD_BE03,DESIGN,BE03_material_lower_bound,0.2,,,fraction,analysis_config.json,2026-09-24T10:30:00Z,.0%,
THRESHOLD_WK07,DESIGN,WK07_material_relative_regret,0.05,,,fraction,analysis_config.json,2026-09-24T10:30:00Z,.0%,
THRESHOLD_UI09,DESIGN,UI09_material_lower_bound,0.05,,,fraction,analysis_config.json,2026-09-24T10:30:00Z,.0%,
