value_id,case_id,metric,estimate,lower,upper,unit,analysis_output,generated_utc,format_spec,notes
BE03_ENERGY_REDUCTION,BE03,fixed_schedule_energy_reduction,0.2566860465116279,0.18048526722985148,0.3485065957493669,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1%,Oracle occupancy response with ten-minute hold
BE03_FALSE_OFF_FIXED,BE03,fixed_schedule_occupied_false_off,0,,,nominal minute-observations,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
BE03_CLASSIFICATION,BE03,case_classification,small_or_uncertain_mismatch,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
WK07_FIXED_AGE,WK07,training_selected_fixed_replacement_age,134,,,cycles,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.0f,
WK07_STATIC_REGRET,WK07,fixed_vs_oracle_condition_static_regret,0.002499414778401026,0.002285095182676243,0.0027085073399464466,normalized cost per cycle,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.5f,
WK07_RELATIVE_REGRET,WK07,fixed_vs_oracle_condition_relative_regret,0.3349215803057375,,,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1%,
WK07_CLASSIFICATION,WK07,case_classification,material_mismatch_under_oracle_benchmark,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
UI01_SAVINGS_PER_MWH,UI01,interval_aware_procurement_savings,0.07184538041200994,0.06816241739091915,0.07574878320219654,EUR per MWh baseline load,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.3f,
UI01_COST_REDUCTION,UI01,interval_aware_procurement_cost_reduction,0.001922451887077135,,,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.2%,
UI01_CLASSIFICATION,UI01,case_classification,small_or_uncertain_mismatch,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
UI09_CALENDAR_APPLICATION,UI09,calendar_weekly_irrigation,121.68536658012549,,,mm per week,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.2f,
UI09_OBJECTIVE_REGRET,UI09,calendar_vs_weather_adaptive_objective_regret,0.3686977651168869,0.317470074464359,0.3992389207742478,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1%,
UI09_CLASSIFICATION,UI09,case_classification,material_mismatch_under_oracle_benchmark,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
TR01_PROXY_REDUCTION,TR01,responsive_allocation_delay_proxy_reduction,0.2720424771537744,0.22340720332793138,0.3103557863063679,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1%,Supplementary sensitivity; not a deployment effect
TR01_CLASSIFICATION,TR01,case_classification,insufficient_evidence,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
NC01_CLASSIFICATION,NC01,case_classification,insufficient_evidence,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
NC03_OPTIMAL_RATIO,NC03,repeated_halving_optimal_aspect_ratio,1.4142135623730951,,,long side / short side,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.6f,
NC03_SELF_SIMILARITY_LOSS,NC03,repeated_halving_self_similarity_loss,4.930380657631324e-32,,,squared ratio difference,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.3e,
NC03_CLASSIFICATION,NC03,case_classification,no_mismatch_for_repeated_halving_objective,,,category,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,s,
BE03_OBSERVATIONS,BE03,observations,20560,,,observations,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
BE03_FIXED_ON,BE03,fixed_on_nominal_minutes,6880,,,nominal minute-observations,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
BE03_ADAPTIVE_ON,BE03,adaptive_on_nominal_minutes,5114,,,nominal minute-observations,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
BE03_HOLD,BE03,occupancy_hold_minutes,10,,,minutes,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.0f,
WK07_TRAINING_UNITS,WK07,training_units,100,,,simulated units,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.0f,
WK07_EVALUATION_UNITS,WK07,evaluation_units,100,,,simulated units,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.0f,
WK07_FIXED_RATE,WK07,evaluation_fixed_cost_rate,0.007462686567164179,,,normalized cost per cycle,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.5f,
WK07_CONDITION_RATE,WK07,evaluation_oracle_condition_cost_rate,0.004963271788763153,,,normalized cost per cycle,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.5f,
UI01_COMPLETE_DAYS,UI01,complete_days,725,,,days,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
UI01_FLEXIBLE_FRACTION,UI01,primary_flexible_fraction,0.01,,,fraction,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1%,
UI01_SAVINGS_SHIFTED,UI01,savings_eur_per_shifted_mwh,14.629067742937522,,,EUR per shifted MWh,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.2f,
UI09_TRAINING_WEEKS,UI09,training_weeks,135,,,weeks,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
UI09_EVALUATION_WEEKS,UI09,evaluation_weeks,135,,,weeks,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
UI09_ADAPTIVE_APPLICATION,UI09,adaptive_mean_application_mm_per_week,121.87053276489004,,,mm per week,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.2f,
UI09_OVERAPPLICATION,UI09,calendar_overapplication_mm,1901.746575812477,,,mm over evaluation period,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1f,
UI09_SHORTFALL,UI09,calendar_shortfall_mm,1926.7440107556904,,,mm over evaluation period,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,.1f,
TR01_PAIRED_DAYS,TR01,paired_days,35,,,days,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
TR01_TRAINING_DAYS,TR01,training_days,17,,,days,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
TR01_EVALUATION_DAYS,TR01,evaluation_days,18,,,days,outputs/analysis/case_results.json,2026-09-24T10:30:00Z,",d",
