date,baseline_cost,adaptive_cost,savings,load_mwh,shifted_mwh
2018-10-01,87755100.88999997,87604357.6841,150743.20589996874,1427977.0,7077.549999999977
2018-10-02,58228145.02,58038917.427700005,189227.5922999978,1466079.0,6977.210000000017
2018-10-03,27519350.27,27240377.9559,278972.314100001,1211230.0,5992.529999999966
2018-10-04,93467403.75,93291881.22969998,175522.5203000158,1401361.0,6991.89000000005
2018-10-05,84956633.42999999,84806339.5389,150293.8910999894,1391312.0,6765.229999999934
2018-10-06,69661652.4,69571306.91160002,90345.48839998245,1194463.0,5906.330000000064
2018-10-07,62299693.9,62210285.9214,89407.97859999537,1111097.0,5433.60999999999
2018-10-08,92760030.27,92574825.174,185205.09600000083,1418461.0,7065.619999999948
2018-10-09,104379075.29,104164513.2723,214562.0177000016,1436716.0,7016.520000000073
2018-10-10,88318629.44000001,88133712.4439,184916.9961000085,1430495.0,6989.690000000086
2018-10-11,82833167.04,82655362.41679999,177804.62320001423,1459563.0,7158.91999999994
2018-10-12,81810458.76,81677133.28380002,133325.47619998455,1415770.0,7066.159999999909
2018-10-13,51954181.480000004,51822529.1046,131652.37540000677,1193530.0,5776.569999999974
2018-10-14,32999150.03,32904220.292600006,94929.73739999533,1110363.0,5323.920000000038
2018-10-15,88023682.74999999,87822148.7228,201534.0271999836,1394089.0,6945.70000000007
2018-10-16,104377310.42999998,104210111.35030001,167199.07969996333,1418567.0,7068.170000000086
2018-10-17,102873128.82999995,102677402.82190003,195726.0080999285,1418697.0,7087.530000000104
2018-10-18,92098620.87,91955253.32850003,143367.54149997234,1438018.0,7189.980000000072
2018-10-19,97446193.88999999,97303435.93849999,142757.95149999857,1400952.0,6987.729999999996
2018-10-20,72098360.10000001,72012576.9018,85783.19820000231,1220446.0,5926.649999999983
2018-10-21,63972725.70999999,63893195.5917,79530.11829999089,1149086.0,5603.509999999937
2018-10-22,83579975.10000001,83410673.5696,169301.53040000796,1473832.0,7333.290000000077
2018-10-23,50843916.11,50719421.5825,124494.52749999613,1541690.0,7575.320000000051
2018-10-24,75251893.01,75057512.667,194380.34300000966,1515599.0,7549.32000000012
2018-10-25,76079572.11,75932872.6249,146699.4851000011,1500498.0,7370.58000000002
2018-10-26,84841353.96000001,84667405.9264,173948.03360000253,1456458.0,7226.199999999953
2018-10-27,63317662.05,63192969.074700005,124692.97529999167,1254862.0,6173.620000000054
2018-10-28,50394084.03,50348575.350899994,45508.67910000682,1174365.0,5845.040000000052
2018-10-29,69376281.19,69220390.228,155890.9619999975,1503615.0,7355.850000000071
2018-10-30,52432486.64,52300461.353800006,132025.28619999439,1517364.0,7558.169999999933
2018-10-31,66759417.75,66584717.983700015,174699.76629998535,1410400.0,6962.5999999999985
2018-11-01,62563305.24999999,62478222.136399984,85083.11360000819,1284065.0,6414.969999999961
2018-11-02,76663970.24999999,76540706.78469999,123263.46529999375,1367496.0,6813.420000000027
2018-11-03,64411813.269999996,64323480.945199996,88332.3247999996,1227653.0,6066.269999999899
2018-11-04,54562945.95000001,54506402.0528,56543.89720001072,1137691.0,5684.689999999922
2018-11-05,85136430.56000002,85000646.69409999,135783.86590002477,1442013.0,7025.5200000000805
