date,static_proxy,adaptive_proxy,reduction,hours
2018-03-05T00:00:00.000,3533843.8397783567,2390141.0,1143702.8397783567,24
2018-03-06T00:00:00.000,4114067.7249891507,2720466.0,1393601.724989151,24
2018-03-09T00:00:00.000,3770402.022817185,2707264.0,1063138.0228171851,24
2018-03-10T00:00:00.000,2831080.9051046195,2097363.0,733717.9051046195,24
2018-03-11T00:00:00.000,1901601.2927019594,1402828.0,498773.29270195926,24
2018-03-12T00:00:00.000,3115602.3178648753,2040331.0,1075271.3178648753,24
2018-03-13T00:00:00.000,3487609.9826077735,2222023.0,1265586.9826077735,24
2018-03-14T00:00:00.000,3325135.9171407726,2229117.0,1096018.917140773,24
2018-03-15T00:00:00.000,3786478.115978297,2604432.0,1182046.1159782973,24
2020-11-14T00:00:00.000,2847220.351246902,2197966.0,649254.3512469018,24
2020-11-15T00:00:00.000,1740072.3327566897,1277442.0,462630.3327566896,24
2020-11-16T00:00:00.000,3033369.547515177,2406276.0,627093.547515177,24
2020-11-17T00:00:00.000,2750702.623922002,2148885.0,601817.6239220022,24
2020-11-18T00:00:00.000,2975803.3409077353,2369572.0,606231.340907735,24
2020-11-19T00:00:00.000,3236132.8511691224,2683312.0,552820.8511691222,24
2020-11-20T00:00:00.000,3311542.4786520437,2586135.0,725407.4786520437,24
2020-11-21T00:00:00.000,2894623.460342088,2221629.0,672994.4603420877,24
2020-11-22T00:00:00.000,1715859.9764564068,1274705.0,441154.97645640676,24
